,mean Dice,mean HD95
0,94.45775151252747,2.8284270763397217
1,94.79724168777466,2.8284270763397217
2,94.55680251121521,2.8284270763397217
3,94.79724168777466,2.8284270763397217
4,94.9174165725708,2.4494898319244385
5,94.69587206840515,2.8284270763397217
6,94.89792585372925,2.4494898319244385
7,95.0188934803009,2.4494898319244385
8,95.07174491882324,2.2360680103302
9,94.07802820205688,3.0
10,94.16363835334778,3.0
11,94.73580121994019,2.4494898319244385
12,94.2156732082367,3.0
13,94.37437653541565,2.8284270763397217
14,94.53268647193909,2.4494898319244385
15,94.89980936050415,2.2360680103302
16,94.72520351409912,2.2360680103302
17,94.91598606109619,2.2360680103302
18,94.90888118743896,2.2360680103302
19,95.02595663070679,2.2360680103302
20,94.85151171684265,2.2360680103302
