,mean Dice,mean HD95
0,0.8397966623306274,72.68424987792969
1,5.47364316880703,73.35530090332031
2,4.85587902367115,73.30075073242188
3,0.7825450971722603,72.75988006591797
4,4.016232490539551,70.7177505493164
5,4.0263596922159195,70.78135681152344
6,1.4726151712238789,73.62744140625
7,1.4494162052869797,73.88504791259766
8,1.2547182850539684,72.28416442871094
9,1.1469143442809582,72.05553436279297
10,7.2550080716609955,73.55270385742188
11,6.517314165830612,73.60027313232422
12,1.0900042951107025,72.94518280029297
13,1.1347567662596703,72.92462158203125
14,2.006695978343487,72.69800567626953
15,1.8526721745729446,72.70487976074219
16,2.9401903972029686,72.29107666015625
17,2.714126370847225,72.16647338867188
18,1.8301894888281822,73.0684585571289
19,1.909201219677925,73.00685119628906
